table_name,column_name,column_description
OwnerCareerLeaderboard_LLM,player_acquisitions,"The total number of players this owner has acquired (e.g., via free agency or waivers) over their entire career."
OwnerCareerLeaderboard_LLM,avg_regular_season_finish,"The owner's average finishing position at the end of the regular season, averaged across all seasons they participated in. A lower number is better."
OwnerCareerLeaderboard_LLM,avg_final_standing,"The owner's average final ranking at the end of all seasons (including playoffs), averaged across all seasons. A lower number is better."
DraftAnalysis_Full_LLM,overall_adp_rank,Average Draft Position (ADP). The player's average draft position across a wider market of fantasy drafts.
DraftAnalysis_Full_LLM,positional_adp_rank,The player's market-wide average draft position relative to other players at the same position.
DraftAnalysis_Full_LLM,draft_value_vs_adp,"A calculated value indicating how much of a 'reach' or 'steal' the pick was compared to the market ADP. A negative value is a reach, a positive value is a steal."
DraftAnalysis_Full_LLM,actual_total_fantasy_points_season,The total fantasy points the player actually scored during that entire season.
DraftAnalysis_Full_LLM,fantasy_points_per_game,The average fantasy points per game the player actually scored during that season.
DraftAnalysis_Full_LLM,actual_positional_finish_rank,The player's final rank among all players at their position for that season.
DraftAnalysis_Full_LLM,expected_points,The pre-calculated number of fantasy points a player was expected to score based on their draft position.
DraftAnalysis_Full_LLM,points_scored_over_expected,The difference between the player's actual total fantasy points and their expected points. A positive value means they overperformed expectations.
DraftAnalysis_Full_LLM,player_finish_position_vs_drafted_position,"The difference between the player's draft rank and their final finish rank at their position. A positive value means they outperformed their draft position (e.g., drafted 10th, finished 5th = +5)."
FantasyMatchups_LLM,is_a_playoff_matchup,"A boolean value (1 for true, 0 for false) indicating if the matchup was a playoff matchup. Use this to filter for playoff games."
FantasyMatchups_LLM,playoff_matchup_category,"Category for the playoff matchup. Values are 'Quarterfinal', 'Semifinal', 'Championship', or NULL for non-playoff matchups. Use this filter the results of championships, quarterfinals, and semifinal matchups."
